Brand,Model,Engine_Type,Transmission,Driven_Kms,Price_In_Lakhs,Location,State,is_BH_series,Car_Age,is_top_trim
Renault,Kwid,Petrol,Manual,5730,3.44,Delhi,Delhi,0,1,0
Mahindra,Kuv100,Petrol,Manual,38585,1.98,Delhi,Delhi,0,9,0
Mahindra,XUV300,Petrol,Manual,118178,4.67,Delhi,Uttar Pradesh,0,4,0
Maruti,Baleno,Petrol,Manual,57584,4.18,Delhi,Haryana,0,6,0
Hyundai,Grand i10,Petrol,Manual,85372,2.57,Delhi,Haryana,0,9,1
Tata,NEXON,Petrol,Manual,59541,4.49,Delhi,Haryana,0,3,0
Maruti,Baleno,Petrol,Manual,71982,4.64,Delhi,Uttar Pradesh,0,4,0
Tata,TIGOR,Petrol,Manual,54465,4.33,Delhi,Uttar Pradesh,0,1,0
Hyundai,Elite i20,Petrol,Manual,75068,4.17,Delhi,Delhi,0,7,1
Maruti,Dzire,Petrol,Manual,22503,5.62,Delhi,Haryana,0,1,0
Maruti,Celerio,CNG,Manual,92073,2.53,Delhi,Delhi,0,9,0
Maruti,Other,Petrol,Manual,72906,2.57,Delhi,Uttar Pradesh,0,7,0
Maruti,Ritz,Petrol,Manual,39724,1.59,Delhi,Uttar Pradesh,0,11,0
Hyundai,Elite i20,Petrol,Manual,93390,3.12,Delhi,Haryana,0,9,1
MG,ASTOR,Petrol,Manual,29548,8.21,Delhi,Delhi,0,3,0
Hyundai,Creta,Petrol,Auto,97391,9.35,Delhi,Delhi,0,4,1
Honda,Amaze,Petrol,Manual,68369,1.93,Delhi,Delhi,0,10,0
Ford,Ecosport,Petrol,Manual,22891,4.46,Delhi,Uttar Pradesh,0,6,1
Nissan,MAGNITE,Petrol,Auto,18746,6.16,Delhi,Haryana,0,2,1
Maruti,Baleno,Petrol,Manual,63358,3.88,Delhi,Haryana,0,7,1
Maruti,Eeco,CNG,Manual,79899,2.96,Delhi,Haryana,0,7,0
Mahindra,Kuv100,Petrol,Manual,37253,1.75,Delhi,Delhi,0,10,0
Hyundai,VENUE,Petrol,Manual,44233,6.12,Delhi,Uttar Pradesh,0,4,0
Renault,Kiger,Petrol,Manual,21298,4.17,Delhi,Haryana,0,2,0
Nissan,Other,Petrol,Manual,39225,1.31,Delhi,Uttar Pradesh,0,11,0
Maruti,Swift,Petrol,Manual,61207,1.98,Delhi,Uttar Pradesh,0,11,0
KIA,SONET,Petrol,Manual,98946,5.98,Delhi,Haryana,0,3,0
